Never Have I Ever,Drink if you've been to Italy,,,
Never Have I Ever,Drink if you've been to Paris,,,
Never Have I Ever,Drink if you've been to Canada,,,
Never Have I Ever,Drink if you've been to Thailand,,,
Never Have I Ever,Drink if you've been to Japan,,,
Never Have I Ever,Drink if you've literally shit your pants. Drink 2 if you've shit yourself at the cabin.,,,
,,,,
Big Baby,Drink if you're the youngest,,,
Nicetitties,Say something geninuely nice about the person to your right,,,
Split the G,"Congrats ya nailed it, give 1d6 drinks",,,
Split the G,"You fucking blew it, drink 1d6 drinks",,,
Work it,Do a runway walk,,,
ABC's,"Say the alphabet backwards, every mistake is a drink",,,
GOALLLL,Drink as long as the person to your left can say GOAAAAALLLLL,,,
Call Out,Who would overpack for a 1 night stay? They drink,,,
Call Out,Who reads the group chat but never replies? They drink,,,
Call Out,Who uses their notes app the most? They drink,,,
Categories,Animated movies ,,,
Categories,Sales at Freddies,,,
Tin Hat Society,One conspiracy theory you really believe,,,
Happy Holidays,You have 10 seconds to come up with a fake holiday. Drink 2 if you blow it,,,
Stare down,Challenge someone to a stairing contest. Loser drinks,,,
Goof Dog,Keep your eyes as open as possible until your next turn,,,
Call Out,Who is most likely to suggest shots? They drink (a shot if they're not scared),,,
Spelling Contest,"The person to your left gives you a word to spell. U wrong U drink. U right, they drink",,,
Blessing & a Curse,Give 1d6 drinks and take a different 1d6 drinks,,,
Categories,Things in a kitchen,,,
Knickers,"Guess the person to your rights underwear color. You right, they drink. You wrong, you drink",,,
Da Rulez,"Until your next turn, you can't use your hands to drink",,,
Weatherman,Give your best weather forecast for the vibes for the rest of the day/night,,,
Da Rulez,"Next person who says ""beer"" has to drink",,,
Dare,Balance your drink on your head for 10 seconds,,,
Da Rulez,"Until your next turn, you have to peel your drink like a banana",,,
Vowels,Drink for evey vowel in your name,,,
Categories ,US Capitols,,,
Opinions,Give your most Joe/Becca opinion,,,
Categories,Things you should never say to a police officer,,,
Debate,,,,
