"core","core.shortest","Pocket Sized","group","Shortest player drinks 2. Podium not included.","",""
"core","core.new-blood","New Blood","group","Newest player drinks 2. Welcome to it.","",""
"core","core.late-arrival","Fashionably Late","group","Last to arrive drinks 2. Sinner.","",""
"core","core.couples","Couples Drink","group","Anyone partnered drinks 2. Singles give 2 and sulk.","",""
"core","core.singles","Single Pringle","group","Anyone single drinks 2. Everyone else gives 2.","",""
"core","core.birthday","Birthday Month","group","Birthday this month? Drink 2. Everyone else toasts you.","",""
"core","core.most-likely","Most Likely To","group","Name a misdeed. Point at the most likely. Most pointed drinks 3.","",""
"core","core.would-rather","Would You Rather","group","Pose a dilemma. Point left or right. Minority drinks 2.","",""
"core","core.waterfall","Ace Is Waterfall","group","Start a waterfall. Everyone sips in turn and stops in turn.","",""
"core","core.kings-king","King's Cup","group","Pour a sip into the cup. When full, the drawer sips from it.","",""
"core","core.tavern-brawl","Tavern Brawl","group","On three, everyone points at someone. Most pointed drinks 3.","",""
"core","core.round-for-the-table","Round for the Table","group","Roll d6. Everyone drinks your roll. You just watch.","1d6 — Everyone but you drinks {total}.",""
"core","core.potluck","Potluck","group","Roll 2d6. Everyone drinks half the total, rounded up.","2d6 — Everyone drinks half the total, rounded up.",""
"core","core.table-tax","Table Tax","group","Roll d6. Everyone else drinks your roll. Toast them.","1d6 — Everyone else drinks {total}.",""
"core","core.group-roll","Group Roll","group","Roll d20. 10+: everyone gives you 1. Else everyone drinks 1.","1d20 — 1-9: Everyone drinks 1. 10-20: Everyone gives you 1.",""
"core","core.snake-pit","Snake Pit","group","Roll 2d6. Doubles: everyone drinks 2. Else only you do.","2d6 — Doubles: everyone drinks 2. Otherwise you drink 2.",""
"core","core.committee","Committee","group","Roll d6. Point at that many people. Each drinks 1.","1d6 — Point at {total} players to drink 1 each.",""
"core","core.last-call-roll","Last Call Roll","group","Roll d6. Everyone toasts and drinks your roll.","1d6 — Everyone toasts and drinks {total}.",""
"core","core.crowd-surf","Crowd Surf","group","Roll d6. Give that many total, split however you like.","1d6 — Give {total} total, split however you like.",""
"core","core.thanos-snap","Thanos Snap","group","Pick half the table. Everyone picked drinks 2.","",""
"core","core.call-out-overpack","Call Out","group","Who overpacks for one night? They drink 3.","",""
"core","core.call-out-ghost","Ghosted the Chat","group","Who reads the group chat and never replies? They drink 3.","",""
"core","core.call-out-notes","Notes App Menace","group","Who lives in their notes app? They drink 3.","",""
"core","core.damn-youre-old","Damn, You're Old","group","Oldest drinks 3. Youngest gives 1 for the disrespect.","",""
"core","core.big-baby","Big Baby","group","Youngest drinks 2. Oldest gives 1 for the disrespect.","",""
"core","core.still-single","Still Single","group","Anyone single drinks 2. Everyone partnered gives 1.","",""
"core","core.power-couple","Power Couple","group","Anyone partnered drinks 2. Singles give 1.","",""
"core","core.the-cino","The Cino","group","Ever lost money gambling? Drink 3. Still up? Give 2.","",""
"core","core.first-class","First Class","group","Flown first class? Drink 2 and brag. Everyone else gives 1.","",""
"core","house.sheet-005","Dog Vision","group","Wearing blue or yellow? Give 1 sip.","",""
"core","house.sheet-013","Ron Stop","group","Say “Ron, stop” in one breath. Everyone takes 1 sip when you stop.","",""
"core","house.sheet-019","And the Chicks","group","One guy takes 1 sip. Everyone else takes 1 sip together.","",""
"core","house.sheet-020","Wiener Schnitzel","group","All the dudes at the table take 1 sip.","",""
"core","house.sheet-034","Technophoria","group","Touched a phone today? Take 1 sip.","",""
"core","house.sheet-043","QUICK","group","Both hands up! Last person takes 1 sip.","",""
"core","house.sheet-044","Points","group","Count to three, then point to someone. Anyone pointed at takes 1 sip.","",""
"core","house.sheet-049","Mexico v China","group","Thumbs up for Mexican food; down for Chinese. Minority takes 1 sip.","",""
"core","house.sheet-061","Damn, you're old","group","Oldest at the table takes 1 sip.","",""
"core","house.sheet-076","Big Baby","group","Youngest at the table takes 1 sip.","",""
"core","house.sheet-082","GOALLLL","group","Hold a big “GOAL!” cheer. Everyone takes 1 sip when you stop.","",""
"core","house.sheet-083","The Overpacker","group","Who overpacks for one night? Vote. They take 1 sip.","",""
"core","house.sheet-084","The Lurker","group","Who reads the group chat but never replies? Vote. They take 1 sip.","",""
"core","house.sheet-085","The Note Taker","group","Who uses their notes app most? Vote. They take 1 sip.","",""
"core","house.sheet-092","Shot Caller","group","Who suggests shots most often? Vote. They take 1 sip.","",""
"core","core.categories","Categories","category","Pick a category. First repeat or blank drinks 3.","",""
"core","core.rhyme-time","Rhyme Time","category","Pick a word. First bad rhyme drinks 3.","",""
"core","core.questions-only","Questions Only","category","Questions only. First statement drinks 3.","",""
"core","core.name-3","Name 3","category","Group picks a topic. Name 3 or drink 3.","",""
"core","core.rock-paper-drink","Rock Paper Drink","category","Challenge someone. Loser drinks 3.","",""
"core","core.never-have-i","Never Have I Ever","category","Say one. Anyone who has drinks 2.","",""
"core","core.alphabet","Alphabet Race","category","Pick a letter. First blank or repeat drinks 2.","",""
"core","core.story-time","Story Time","category","Add one sentence to a group story. First to stall drinks 2.","",""
"core","core.fizz-buzz","Fizz Buzz","category","Count up: Fizz on 3s, Buzz on 5s. First slip rolls d6 and drinks it.","1d6 — Drink {total}.",""
"core","core.fuzzy-duck","Fuzzy Duck","category","Say fuzzy duck. Switch to ducky fuzz anytime. Slip: drink 2.","",""
"core","core.goblin-market","Goblin Market","category","Name something from a goblin market. First blank drinks 2.","",""
"core","core.bad-baby-names","Bad Baby Names","category","Name terrible baby names. First repeat or blank drinks 3.","",""
"core","core.ex-cuses","Ex-Cuses","category","Name an ex. First repeat, blank or cringe drinks 3.","",""
"core","core.cheap-beers","Cheap Beers","category","Name cheap beers. First repeat or blank drinks 3.","",""
"core","core.hockey-guys","Hockey Guys","category","Name hockey players. First repeat or blank drinks 3.","",""
"core","core.name-those-pokemon","Name Those Pokémon","category","Name Pokémon. First repeat or blank drinks 3.","",""
"core","core.trilogies","Trilogies","category","Name movie trilogies. First repeat or blank drinks 3.","",""
"core","core.taco-bell-menu","Taco Bell Menu","category","Name Taco Bell items. First repeat or blank drinks 3.","",""
"core","core.things-you-lick","Things You Lick","category","Name things you lick. First repeat or blank drinks 3.","",""
"core","core.us-capitals","US Capitals","category","Name US capitals. First repeat or blank drinks 3.","",""
"core","core.kitchen-things","Kitchen Things","category","Name things in a kitchen. First repeat or blank drinks 3.","",""
"core","core.never-say-to-cops","Never Say This","category","Name things you never say to a cop. First repeat or blank drinks 3.","",""
"core","core.animated-movies","Animated Movies","category","Name animated movies. First repeat or blank drinks 3.","",""
"core","core.reality-tv","Reality TV","category","Name reality shows. First repeat or blank drinks 3.","",""
"core","core.freddies-sales","Freddies Sales","category","Name things on sale at Freddie's. First repeat or blank drinks 3.","",""
"core","core.creepy-crawlies","Creepy Crawlies","category","Name bugs. First repeat or blank drinks 3.","",""
"core","house.sheet-021","Disney Movies","category","Clockwise, name Disney movies. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-022","Taco Bell Menu","category","Clockwise, name Taco Bell menu items. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-025","Things You Lick","category","Clockwise, name things you lick. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-033","Movie Trilogies","category","Clockwise, name movie trilogies. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-035","Countries","category","Clockwise, name countries. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-041","Hockey Players","category","Clockwise, name hockey players. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-052","Name Pokémon","category","Clockwise, name Pokémon. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-066","Reality TV","category","Clockwise, name reality TV series. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-086","Animated Movies","category","Clockwise, name animated movies. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-087","Freddies Sales","category","Clockwise, name sales at Freddies. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-095","Kitchen Things","category","Clockwise, name things in a kitchen. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-103","US Capitals","category","Clockwise, name US state capitals. No repeats. First to stall takes 1 sip.","",""
"core","house.sheet-105","Police Officer","category","Clockwise, name things you should never say to a police officer. First to stall sips.","",""
"core","core.deez-nuts","Deez Nuts","challenge","Get someone with a deez nuts joke. They drink 3.","",""
"core","core.smooth-brain","Smooth Brain","challenge","Admit something dumb you believed. Drink 2.","",""
"core","core.dice-tax","Dice Tax","challenge","Roll d6. Drink half, round up.","1d6 — Drink half your roll, rounded up.",""
"core","core.give-a-shit","Give a Shit","challenge","Roll d6. Give that many.","1d6 — Give {total}.",""
"core","core.fuckin-math","Fuckin' Math","challenge","Roll d6. Drink 7 minus your roll.","1d6 — Drink 7 minus your roll.",""
"core","core.low-roller","Pathetic","challenge","Roll d6. 1–2: drink 4. Else give 2.","1d6 — 1-2: Drink 4. 3-6: Give 2.",""
"core","core.high-roller","Big Dick Energy","challenge","Roll d6. 5–6: give 5. Else drink 2.","1d6 — 1-4: Drink 2. 5-6: Give 5.",""
"core","core.same-shit","Same Shit","challenge","Roll 2d6. Doubles: give total. Else drink 3.","2d6 — Doubles: give {total}. Otherwise drink 3.",""
"core","core.two-beers-math","That's Two Beers","challenge","Roll 2d6. Give the total.","2d6 — Give {total}.",""
"core","core.snake-eyes","Snake Eyes","challenge","Roll 2d6. Double 1s: drink 6. Else give 3.","2d6 — 2-2: Drink 6. 3-12: Give 3.",""
"core","core.lucky-bastard","Lucky Bastard","challenge","Roll 2d6. 9+: give 5. Under 9: drink 3.","2d6 — 2-8: Drink 3. 9-12: Give 5.",""
"core","core.fuck-around","Fuck Around & Find Out","challenge","Roll d20. 1: drink 5. 20: give 8. Else drink 2.","1d20 — 1-1: Drink 5. 2-19: Drink 2. 20-20: Give 8.",""
"core","core.crit-fail","Critical Failure","challenge","Roll d20. 1–5: drink 4. 16–20: give 4.","1d20 — Roll 1–5: drink 4. Roll 16–20: give 4. Otherwise nothing.",""
"core","core.chosen-one","God's Drunkest Soldier","challenge","Roll d20. 20: everyone else drinks 3. 1: drink 5.","1d20 — Roll 20: everyone else drinks 3. Roll 1: drink 5. Otherwise nothing.",""
"core","core.kings-four","Four Is Floor","challenge","Touch the floor. Last one down drinks 2.","",""
"core","core.kings-seven","Seven Is Heaven","challenge","Hands up. Last hand up drinks 2.","",""
"core","core.hands-on-heads","Hands on Heads","challenge","Put your hands on your head. Last one drinks 2.","",""
"core","core.truth-or-drink","Truth or Drink","challenge","Answer honestly, or roll d6 and drink it.","1d6 — Drink {total}.",""
"core","core.paranoia","Paranoia","challenge","Whisper a question. They answer aloud. Ask what it was: drink 2.","",""
"core","core.two-truths","Two Truths","challenge","Two truths and a lie. First wrong guess rolls d6 and drinks it.","1d6 — Drink {total}.",""
"core","core.rant","Rant Mode","challenge","Rant for 20 seconds or roll d6 and drink it.","1d6 — Drink {total}.",""
"core","core.impression","Do the Impression","challenge","Do an impression of someone here. If nobody laughs, drink 2.","",""
"core","core.stare-down","Stare Down","challenge","Stare down a rival. First to blink or laugh drinks 2.","",""
"core","core.thumb-war","Thumb War","challenge","Challenge someone to a thumb war. Loser drinks 2.","",""
"core","core.lucky-sip","Lucky Sip","challenge","Roll d6. Drink your roll. Call it luck.","1d6 — Drink {total}.",""
"core","core.open-hand","Open Hand","challenge","Roll d6. Give your roll. Look generous.","1d6 — Give {total}.",""
"core","core.odd-even","Coin Flip","challenge","Roll d6. Odd: drink 3. Even: give 3.","1d6 — Odd: drink 3. Even: give 3.",""
"core","core.fate","Fate","challenge","Roll d20. 10 or more: give 3. Under 10: drink 4.","1d20 — 1-9: Drink 4. 10-20: Give 3.",""
"core","core.blessing","Blessing","challenge","Roll d20. Only a natural 20 does anything: everyone else drinks 2.","1d20 — 1-19: Nothing happens. 20-20: Everyone else drinks 2.",""
"core","core.dragon-breath","Dragon's Breath","challenge","Take a sip, then name someone. They drink 1 and take a sip back.","",""
"core","core.loot-drop","Loot Drop","challenge","Roll d6. 5–6: give 4. Else drink 2.","1d6 — 1-4: Drink 2. 5-6: Give 4.",""
"core","core.critical-hit","Critical Hit","challenge","Rock-paper-scissors: winner gives 4, loser drinks 2.","",""
"core","core.bard","Bardic Inspiration","challenge","Sing your next sentence. Laughs: drink 2. Silence: you drink 2.","",""
"core","core.prophecy","Prophecy","challenge","Predict who drinks next. Right: give 3. Wrong: drink 3.","",""
"core","core.side-quest","Side Quest","challenge","Give the table a small dare. Anyone who refuses drinks 2.","",""
"core","core.pay-your-tab","Pay Your Tab","challenge","Roll d6. Give your roll to anyone. No takebacks, no crying.","1d6 — Give {total}.",""
"core","core.dice-debt","Dice Debt","challenge","Roll d6. Drink 7 minus your roll. Show your work.","1d6 — Drink 7 minus your roll.",""
"core","core.middle-management","Middle Management","challenge","Roll d6. 1–2: drink 3. 3–4: give 3. 5–6: drink 3.","1d6 — 1-2: Drink 3. 3-4: Give 3. 5-6: Drink 3.",""
"core","core.rock-bottom","Rock Bottom","challenge","Roll d6. 1–2: drink 5. Else drink 1. Could be worse.","1d6 — 1-2: Drink 5. 3-6: Drink 1.",""
"core","core.high-noon","High Noon","challenge","Roll d6. 5–6: give 6. Else drink 2.","1d6 — 1-4: Drink 2. 5-6: Give 6.",""
"core","core.even-money","Even Money","challenge","Roll d6. Odd: drink 4. Even: give 4. The house wins.","1d6 — Odd: drink 4. Even: give 4.",""
"core","core.ten-percent","Ten Percent","challenge","Roll d6. Drink half your roll, rounded up. Tip included.","1d6 — Drink half your roll, rounded up.",""
"core","core.pay-it-forward","Pay It Forward","challenge","Roll d6. Give half your roll, rounded up. Be smug about it.","1d6 — Give half your roll, rounded up.",""
"core","core.surcharge","Surcharge","challenge","Roll d6. Drink that many. On a 6, drink 2 more.","1d6 — Drink {total}. On a 6, drink 2 more.",""
"core","core.lucky-sevens","Lucky Sevens","challenge","Roll 2d6. A 7: give 7. Doubles: drink 4. Else drink 2.","2d6 — A 7: give 7. Doubles: drink 4. Otherwise drink 2.",""
"core","core.boxcars","Boxcars","challenge","Roll 2d6. Double 6s: everyone else drinks 4.","2d6 — Double 6s: everyone else drinks 4. Otherwise nothing.",""
"core","core.bad-start","Bad Start","challenge","Roll 2d6. Double 1s: drink 6. Else give 3.","2d6 — 2-2: Drink 6. 3-12: Give 3.",""
"core","core.double-digits","Double Digits","challenge","Roll 2d6. 10 or more: give 6. Under 10: drink 3.","2d6 — 2-9: Drink 3. 10-12: Give 6.",""
"core","core.crap-out","Crap Out","challenge","Roll 2d6. 2, 3 or 12: drink 6. Else give 2.","2d6 — 2-3: Drink 6. 4-11: Give 2. 12-12: Drink 6.",""
"core","core.split-the-pot","Split the Pot","challenge","Roll 2d6. Give half, rounded up. Drink the rest.","2d6 — Give half the total, rounded up. Drink the rest.",""
"core","core.house-edge","House Edge","challenge","Roll 2d6. Drink the total minus 3, minimum 1.","2d6 — Drink {total} minus 3, at least 1.",""
"core","core.cold-streak","Cold Streak","challenge","Roll 2d6. 4 or less: drink 5. Else drink 1.","2d6 — 2-4: Drink 5. 5-12: Drink 1.",""
"core","core.all-or-nothing","All or Nothing","challenge","Roll 2d6. 12: give 12. Anything less: drink 2.","2d6 — 2-11: Drink 2. 12-12: Give 12.",""
"core","core.table-stakes","Table Stakes","challenge","Roll 2d6. 9+: give 5. Under 9: drink 3.","2d6 — 2-8: Drink 3. 9-12: Give 5.",""
"core","core.samesies","Samesies","challenge","Roll 2d6. Doubles: give the total. Else drink half.","2d6 — Doubles: give {total}. Otherwise drink half, rounded up.",""
"core","core.double-down","Double Down","challenge","Roll 2d6. Doubles: drink 5. Else give 3.","2d6 — Doubles: drink 5. Otherwise give 3.",""
"core","core.nat-one","Nat One","challenge","Roll d20. A 1: finish your drink. Else drink 3.","1d20 — A 1: finish your drink. Otherwise drink 3.",""
"core","core.nat-twenty","Nat Twenty","challenge","Roll d20. A 20: give 8. Else drink 2.","1d20 — 1-19: Drink 2. 20-20: Give 8.",""
"core","core.close-call","Close Call","challenge","Roll d20. 1–5: drink 5. 16–20: give 5. Else nothing.","1d20 — 1-5: Drink 5. 6-15: Nothing happens. 16-20: Give 5.",""
"core","core.coin-flip","Coin Flip","challenge","Roll d20. 11+: give 4. 10 or less: drink 4.","1d20 — 1-10: Drink 4. 11-20: Give 4.",""
"core","core.the-gods-decide","The Gods Decide","challenge","Roll d20. 10 or more: everyone else drinks 3. Else drink 4.","1d20 — 1-9: Drink 4. 10-20: Everyone else drinks 3.",""
"core","core.percentage-tax","Percentage Tax","challenge","Roll d20. Drink 21 minus your roll. Show your work.","1d20 — Drink 21 minus your roll.",""
"core","core.long-shot","Long Shot","challenge","Roll d20. 19–20: give 8. Else drink 2.","1d20 — 1-18: Drink 2. 19-20: Give 8.",""
"core","core.skyscraper","Skyscraper","challenge","Roll d20. A 20: give 10. A 1: drink 10. Else drink 2.","1d20 — 1-1: Drink 10. 2-19: Drink 2. 20-20: Give 10.",""
"core","core.the-swing","The Swing","challenge","Roll d20. Under 10: drink half. 10+: give half.","1d20 — Under 10: drink half, rounded up. 10+: give half, rounded up.",""
"core","core.game-of-chance","Game of Chance","challenge","Roll d20. Odd: give 5. Even: drink 5.","1d20 — Odd: give 5. Even: drink 5.",""
"core","core.triple-threat","Triple Threat","challenge","Roll 3d6. Give the total, capped at 9.","3d6 — Give {total}, capped at 9.",""
"core","core.three-dice-deep","Three Dice Deep","challenge","Roll 3d6. Drink half the total, rounded down.","3d6 — Drink half the total, rounded down.",""
"core","core.prison-rules","Prison Rules","challenge","Roll 3d6. Triple 1s: drink 9. Else drink 2.","3d6 — 3-3: Drink 9. 4-18: Drink 2.",""
"core","core.full-house","Full House","challenge","Roll 3d6. All three match: give 12. Else drink 3.","3d6 — All three match: give 12. Otherwise drink 3.",""
"core","core.overdrive","Overdrive","challenge","Roll 4d6. Even total: give 6. Odd total: drink 6.","4d6 — Even total: give 6. Odd total: drink 6.",""
"core","core.i-dont-know-shit","I Don't Know Shit","challenge","Admit something basic you don't understand. Everyone drinks 2.","",""
"core","core.almost-lost-my-cool","Almost Lost My Cool","challenge","If someone here is mad, calm them and give 3. Else rage and drink 3.","",""
"core","core.what-an-idiot","What an Idiot","challenge","Call someone an idiot. They give 3, or you drink 3.","",""
"core","core.get-good","Get Good","challenge","Insult someone's skills. They prove you wrong or drink 3.","",""
"core","core.its-gotta-go","It's Gotta Go","challenge","Finish your drink. Or pass and drink 3.","",""
"core","core.nicetitties","Nicetitties","challenge","Genuinely compliment the player on your right. Sincerity or sip twice.","",""
"core","core.accent-off","Accent Off","challenge","Talk in an accent. If you laugh first, drink 2.","",""
"core","core.loud-and-proud","Loud and Proud","challenge","Say your next sentence too loud. If it lands, give 2.","",""
"core","core.useless-fact","Useless Fact","challenge","Share an impressive useless fact. If nobody reacts, drink 2.","",""
"core","core.the-receipt","The Receipt","challenge","Read your last purchase aloud. Cringe? Drink 3.","",""
"core","core.gym-class","Gym Class","challenge","Ten jumping jacks or drink 3. No negotiation.","",""
"core","core.runway","Runway","challenge","Do a runway walk. Table scores it: under 7, drink 3.","",""
"core","core.weatherman","Weatherman","challenge","Give tonight's forecast. If it's wrong by last call, drink 3.","",""
"core","core.happy-holidays","Happy Holidays","challenge","Invent a holiday in ten seconds. Flop: drink 3.","",""
"core","core.tin-hat","Tin Hat","challenge","Share a conspiracy you half-believe. Table votes: pass or drink 3.","",""
"core","core.debate-club","Debate Club","challenge","Defend an opinion nobody shares. Lose the vote: drink 3.","",""
"core","core.stare-off","Stare Down","challenge","Stare down a rival. First to laugh drinks 3.","",""
"core","core.thumb-battle","Thumb War","challenge","Thumb war someone. Loser drinks 3.","",""
"core","core.best-of-three","Best of Three","challenge","Best-of-three rock-paper-scissors. Loser drinks 4.","",""
"core","core.knowledge-gap","Knowledge Gap","challenge","Name five of anything the table picks. Miss: drink 3.","",""
"core","core.late-night-text","U Up?","challenge","Read your last late-night text aloud. Refuse: drink 4.","",""
"core","core.corporate-wellness","Corporate Wellness","challenge","Faked sick to skip work? Drink 3. Honest? Give 2.","",""
"core","core.hr-hazard","HR Violation","challenge","Hooked up with a coworker? Drink 4. HR is watching.","",""
"core","house.sheet-003","That's Two Beers?","challenge","Roll d6. On 1–3, give 1 sip. On 4–6, give 2.","1d6 — Give 1 sip on 1–3; give 2 on 4–6.",""
"core","house.sheet-008","Fetch","challenge","Find something outside in 30 seconds, or take 1 sip.","",""
"core","house.sheet-009","Steve's Beans","challenge","Text Steve a compliment about his beans, or take 1 sip.","",""
"core","house.sheet-011","Drink at Ron","challenge","Toast Ron if he is here. Otherwise, call or message him, or take 1 sip.","",""
"core","house.sheet-012","Maddy Booty","challenge","Roll d20. The group counts to your roll while you hold a pose. Miss it: 1 sip.","1d20 — Hold your pose while the group counts to {total}. Miss it: 1 sip.",""
"core","house.sheet-014","Medusa","challenge","Make eye contact with someone. Invite them to take 1 sip with you.","",""
"core","house.sheet-017","Send Help","challenge","Convince someone to join you for 1 sip. If nobody does, take 1.","",""
"core","house.sheet-018","Story Time","challenge","Go clockwise: repeat the story so far and add one word. First mistake takes 1 sip.","",""
"core","house.sheet-023","Headache Simulator","challenge","Wear Becca’s glasses for one round, with permission, or take 1 sip.","",""
"core","house.sheet-029","FMK","challenge","Play FMK with Blink-182, Green Day, and Weezer. Explain your picks.","",""
"core","house.sheet-042","Pet that dog","challenge","Pet a dog in the room, if its owner agrees. No dog? Take 1 sip.","",""
"core","house.sheet-046","Fiend","challenge","Need a nicotine break? Take one. Otherwise, take a water sip.","",""
"core","house.sheet-047","Battery Life","challenge","Guess your phone’s battery. Closest guess gives 1 sip.","",""
"core","house.sheet-048","Rock, Paper, Scissors","challenge","Challenge someone to rock, paper, scissors. Loser takes 1 sip.","",""
"core","house.sheet-056","Mt. Krumpit","challenge","Trade your drink for fresh water, if you want. Otherwise, take 1 sip.","",""
"core","house.sheet-057","I'm an Idiot","challenge","Say “I’m an idiot.” First to reply “You’re an idiot” takes 1 sip.","",""
